id,Time,Emotion,Probability
1,1537349332,neutral,0.48328322
2,1537349332,neutral,0.89380056
3,1537349332,neutral,0.9019606
4,1537349333,neutral,0.53318906
5,1537349333,neutral,0.7983012
6,1537349333,neutral,0.56856024
7,1537349333,happy,0.5360346
8,1537349333,neutral,0.80909693
9,1537349334,neutral,0.53544337
10,1537349334,neutral,0.7528682
11,1537349334,neutral,0.601345
12,1537349334,happy,0.7612168
13,1537349334,happy,0.9619556
14,1537349334,happy,0.9251657
15,1537349335,happy,0.97858834
16,1537349335,happy,0.9757495
17,1537349335,happy,0.9918927
18,1537349335,happy,0.8569162
19,1537349335,neutral,0.39224118
20,1537349336,neutral,0.611847
21,1537349336,neutral,0.24508089
22,1537349336,angry,0.6308193
23,1537349336,angry,0.4632071
24,1537349339,sad,0.86424375
25,1537349339,angry,0.3872045
26,1537349339,neutral,0.5265296
27,1537349339,angry,0.365152
28,1537349339,angry,0.963535
29,1537349341,sad,0.92269176
30,1537349341,angry,0.96574813
31,1537349341,angry,0.9802127
32,1537349341,happy,0.6758628
33,1537349341,disgust,0.42097783
34,1537349342,happy,0.90661937
35,1537349342,happy,0.9885795
36,1537349342,happy,0.9696848
37,1537349342,happy,0.9790069
38,1537349342,happy,0.98225915
39,1537349343,happy,0.9827687
40,1537349343,happy,0.9863695
41,1537349343,happy,0.64674824
42,1537349343,neutral,0.57320243
43,1537349343,neutral,0.7379213
44,1537349344,neutral,0.7165899
45,1537349344,happy,0.9218444
46,1537349344,happy,0.9225411
47,1537349344,neutral,0.85819536
48,1537349344,neutral,0.7966344
49,1537349344,neutral,0.486347
50,1537349345,neutral,0.60743725
51,1537349345,happy,0.86547875
52,1537349345,happy,0.816455
53,1537349345,happy,0.6154921
54,1537349345,happy,0.70935225
55,1537349346,happy,0.8763346
56,1537349346,happy,0.9012346
57,1537349346,happy,0.69039255
58,1537349346,neutral,0.74755305
59,1537349346,neutral,0.8031333
60,1537349347,angry,0.46103036
61,1537349347,angry,0.44092408
62,1537349347,sad,0.8029157
63,1537349347,sad,0.8240597
64,1537349347,neutral,0.5909746
65,1537349347,sad,0.73130727
66,1537349348,neutral,0.8731645
67,1537349348,neutral,0.96092886
68,1537349348,neutral,0.8742182
