Happy,Proability_h,Sad,Proability_s,Angry,Proability_a,Fear,Proability_f
neutral,0.66698545,happy,0.50735474,angry,0.4632071,neutral,0.55694216
neutral,0.5154706,happy,0.5768032,sad,0.86424375,sad,0.48319992
neutral,0.81815344,happy,0.7182939,angry,0.3872045,sad,0.433249
neutral,0.5775694,happy,0.59356624,neutral,0.5265296,sad,0.4600657
happy,0.7183998,neutral,0.53558856,angry,0.365152,sad,0.465088
neutral,0.7120232,neutral,0.49731004,angry,0.963535,sad,0.43191418
neutral,0.91969097,neutral,0.63251686,sad,0.92269176,neutral,0.42340824
neutral,0.89909995,neutral,0.8158663,angry,0.96574813,neutral,0.5998614
neutral,0.65583056,neutral,0.7700068,angry,0.9802127,sad,0.52676
neutral,0.43208906,neutral,0.89195436,happy,0.6758628,sad,0.4248733
neutral,0.6997363,neutral,0.8285425,disgust,0.42097783,neutral,0.45736358
neutral,0.9367009,neutral,0.89395076,happy,0.90661937,neutral,0.5471623
neutral,0.8844079,neutral,0.9468252,happy,0.9885795,sad,0.54985476
neutral,0.7448747,neutral,0.9155684,happy,0.9696848,angry,0.4949759
neutral,0.5756409,neutral,0.87843484,happy,0.9790069,sad,0.38822967
angry,0.3823464,neutral,0.7016413,happy,0.98225915,sad,0.4313602
angry,0.4121169,neutral,0.56101996,happy,0.9827687,neutral,0.5234078
neutral,0.772425,neutral,0.7625815,happy,0.9863695,angry,0.27385908
neutral,0.762656,neutral,0.8637329,happy,0.64674824,neutral,0.63470614
neutral,0.63250625,neutral,0.9155788,neutral,0.57320243,neutral,0.7123984
neutral,0.5253057,neutral,0.8571333,neutral,0.7379213,neutral,0.7339806
neutral,0.8726676,neutral,0.72762364,neutral,0.7165899,neutral,0.43537632
neutral,0.7170666,sad,0.5698313,happy,0.9218444,neutral,0.464007
neutral,0.60294235,sad,0.47592807,happy,0.9225411,neutral,0.7978599
neutral,0.969836,sad,0.5936091,neutral,0.85819536,neutral,0.7568588
neutral,0.9734668,sad,0.7803825,neutral,0.7966344,neutral,0.828277
neutral,0.9816156,sad,0.622648,neutral,0.486347,neutral,0.5338011
neutral,0.9679864,sad,0.58196044,neutral,0.60743725,neutral,0.74466324
neutral,0.7034423,sad,0.59520006,happy,0.86547875,neutral,0.74481696
