network,accuracy,kappa,memory,parameters,Time,model
AlexNet,71.2,,,,,
BOVW+VGG,75.42,,,,,
Xception,68.51,0.6196,,20875247,11ms,fer2013_Xception_0930.105-0.6701.hdf5
Mobile,67.76,0.6107,,3235463,4ms,fer2013_MobileNet_0930.97-0.6631.hdf5
Shuffle,65.67,0.5858,,973135,5ms,fer2013_ ShuffleNet_train2_0930.163-0.6484.hdf5
MobileV2,67.65,0.6091,,2284615,7ms,fer2013_MobileNetv2_0930.170-0.6695.hdf5
MobileV2(96),69.24,0.6286,,2284615,6ms,fer2013_MobileNetv2_96x96.133-0.6879.hdf5
"MobileV2(96,C)",70.13,0.6392,,6671671,9ms,fer2013_Concate_MobileNetv2_96x96_1001.82-0.6851.hdf5
ShuffleV2,67.18,0.6035,,4025483,7ms,fer2013_version5_ShuffleNetV2.108-0.6592.hdf5
Mini_xception,66.48,0.5946,,58423,3ms,fer2013_mini_XCEPTION_1011.156-0.6548.hdf5
Mini_xception©,66.82,0.599,,88999,3ms,fer2013_version5_mini_XCEPTION_64x64_concat.138-0.6553.hdf5
Concat_Xception,70.13,0.6388,,290399,6ms,fer2013_mini_concate_V4_XCEPTION_1007.152-0.6807.hdf5
Concat_Mobile,69.57,0.6322,,264679,8ms,fer2013_ Concate_Mobile_0930.127-0.6695.hdf5
